0,1
Chuvash Republic,Nizhny Novgorod Oblast
Republic of Mordovia,Ryazan Oblast
Republic of Kalmykia,Rostov Oblast
Republic of Adygea,Krasnodar Krai
Karachay-Cherkess Republic,Krasnodar Krai
Republic of Kalmykia,Volgograd Oblast
Republic of Kalmykia,Astrakhan Oblast
Republic of Dagestan,Republic of Kalmykia
Republic of Kalmykia,Republic of Dagestan
Chechen Republic,Republic of Dagestan
Republic of Dagestan,Chechen Republic
Republic of Ingushetia,Chechen Republic
Republic of North Ossetia-Alania,Chechen Republic
Republic of Kalmykia,Stavropol Krai
Republic of Dagestan,Stavropol Krai
Chechen Republic,Stavropol Krai
Republic of North Ossetia-Alania,Stavropol Krai
Kabardino-Balkar Republic,Stavropol Krai
Karachay-Cherkess Republic,Stavropol Krai
Chechen Republic,Republic of Ingushetia
Republic of North Ossetia-Alania,Republic of Ingushetia
Chechen Republic,Republic of North Ossetia-Alania
Republic of Ingushetia,Republic of North Ossetia-Alania
Kabardino-Balkar Republic,Republic of North Ossetia-Alania
Republic of North Ossetia-Alania,Kabardino-Balkar Republic
Karachay-Cherkess Republic,Kabardino-Balkar Republic
Kabardino-Balkar Republic,Karachay-Cherkess Republic
Republic of Tatarstan,Orenburg Oblast
Republic of Bashkortostan,Orenburg Oblast
Chuvash Republic,Republic of Mordovia
Komi Republic,Kirov Oblast
Udmurt Republic,Kirov Oblast
Mari El Republic,Kirov Oblast
Republic of Tatarstan,Kirov Oblast
Komi Republic,Perm Krai
Udmurt Republic,Perm Krai
Republic of Bashkortostan,Perm Krai
Republic of Tatarstan,Udmurt Republic
Republic of Bashkortostan,Udmurt Republic
Chuvash Republic,Mari El Republic
Republic of Tatarstan,Mari El Republic
Komi Republic,Sverdlovsk Oblast
Republic of Bashkortostan,Sverdlovsk Oblast
Republic of Mordovia,Chuvash Republic
Mari El Republic,Chuvash Republic
Republic of Tatarstan,Chuvash Republic
Udmurt Republic,Republic of Tatarstan
Mari El Republic,Republic of Tatarstan
Chuvash Republic,Republic of Tatarstan
Republic of Bashkortostan,Republic of Tatarstan
Republic of Mordovia,Penza Oblast
Republic of Mordovia,Ulyanovsk Oblast
Chuvash Republic,Ulyanovsk Oblast
Republic of Tatarstan,Ulyanovsk Oblast
Udmurt Republic,Republic of Bashkortostan
Republic of Tatarstan,Republic of Bashkortostan
Republic of Bashkortostan,Chelyabinsk Oblast
Komi Republic,Tyumen Oblast
Altai Republic,Altai Krai
Tuva Republic,Altai Republic
Republic of Khakassia,Altai Republic
Altai Republic,Kemerovo Oblast
Republic of Khakassia,Kemerovo Oblast
Komi Republic,Yamalo-Nenets Autonomous Okrug
Tuva Republic,Republic of Khakassia
Altai Republic,Republic of Khakassia
Tuva Republic,Krasnoyarsk Krai
Republic of Khakassia,Krasnoyarsk Krai
Sakha Republic,Krasnoyarsk Krai
Tuva Republic,Irkutsk Oblast
Sakha Republic,Irkutsk Oblast
Tuva Republic,Buryat Republic
Sakha Republic,Zabaykalsky Krai
Kaluga Oblast,Moscow
Tula Oblast,Moscow Oblast
Kaluga Oblast,Moscow Oblast
Saratov Oblast,Samara Oblast
Orenburg Oblast,Samara Oblast
Kirov Oblast,Arkhangelsk Oblast
Kirov Oblast,Vologda Oblast
Kirov Oblast,Komi Republic
Kirov Oblast,Nizhny Novgorod Oblast
Bryansk Oblast,Smolensk Oblast
Kaluga Oblast,Smolensk Oblast
Kirov Oblast,Kostroma Oblast
Tula Oblast,Ryazan Oblast
Lipetsk Oblast,Ryazan Oblast
Tambov Oblast,Ryazan Oblast
Kaluga Oblast,Tula Oblast
Oryol Oblast,Tula Oblast
Lipetsk Oblast,Tula Oblast
Kaluga Oblast,Bryansk Oblast
Oryol Oblast,Bryansk Oblast
Kursk Oblast,Bryansk Oblast
Tula Oblast,Kaluga Oblast
Bryansk Oblast,Kaluga Oblast
Oryol Oblast,Kaluga Oblast
Tula Oblast,Oryol Oblast
Bryansk Oblast,Oryol Oblast
Kaluga Oblast,Oryol Oblast
Kursk Oblast,Oryol Oblast
Lipetsk Oblast,Oryol Oblast
Bryansk Oblast,Kursk Oblast
Oryol Oblast,Kursk Oblast
Belgorod Oblast,Kursk Oblast
Voronezh Oblast,Kursk Oblast
Lipetsk Oblast,Kursk Oblast
Kursk Oblast,Belgorod Oblast
Voronezh Oblast,Belgorod Oblast
Kursk Oblast,Voronezh Oblast
Belgorod Oblast,Voronezh Oblast
Lipetsk Oblast,Voronezh Oblast
Tambov Oblast,Voronezh Oblast
Rostov Oblast,Voronezh Oblast
Volgograd Oblast,Voronezh Oblast
Saratov Oblast,Voronezh Oblast
Tula Oblast,Lipetsk Oblast
Oryol Oblast,Lipetsk Oblast
Kursk Oblast,Lipetsk Oblast
Voronezh Oblast,Lipetsk Oblast
Tambov Oblast,Lipetsk Oblast
Voronezh Oblast,Tambov Oblast
Lipetsk Oblast,Tambov Oblast
Saratov Oblast,Tambov Oblast
Voronezh Oblast,Rostov Oblast
Volgograd Oblast,Rostov Oblast
Rostov Oblast,Krasnodar Krai
Voronezh Oblast,Volgograd Oblast
Rostov Oblast,Volgograd Oblast
Astrakhan Oblast,Volgograd Oblast
Saratov Oblast,Volgograd Oblast
Volgograd Oblast,Astrakhan Oblast
Rostov Oblast,Republic of Kalmykia
Volgograd Oblast,Republic of Kalmykia
Astrakhan Oblast,Republic of Kalmykia
Rostov Oblast,Stavropol Krai
Voronezh Oblast,Saratov Oblast
Tambov Oblast,Saratov Oblast
Volgograd Oblast,Saratov Oblast
Orenburg Oblast,Saratov Oblast
Saratov Oblast,Orenburg Oblast
Kirov Oblast,Perm Krai
Orenburg Oblast,Republic of Tatarstan
Tambov Oblast,Penza Oblast
Saratov Oblast,Penza Oblast
Saratov Oblast,Ulyanovsk Oblast
Orenburg Oblast,Republic of Bashkortostan
Orenburg Oblast,Chelyabinsk Oblast
Irkutsk Oblast,Tuva Republic
Ulyanovsk Oblast,Samara Oblast
Sverdlovsk Oblast,Komi Republic
Tyumen Oblast,Komi Republic
Penza Oblast,Ryazan Oblast
Penza Oblast,Tambov Oblast
Penza Oblast,Saratov Oblast
Ulyanovsk Oblast,Saratov Oblast
Chelyabinsk Oblast,Orenburg Oblast
Penza Oblast,Republic of Mordovia
Ulyanovsk Oblast,Republic of Mordovia
Sverdlovsk Oblast,Perm Krai
Kirov Oblast,Udmurt Republic
Kirov Oblast,Mari El Republic
Chelyabinsk Oblast,Sverdlovsk Oblast
Kurgan Oblast,Sverdlovsk Oblast
Tyumen Oblast,Sverdlovsk Oblast
Ulyanovsk Oblast,Chuvash Republic
Kirov Oblast,Republic of Tatarstan
Ulyanovsk Oblast,Republic of Tatarstan
Ulyanovsk Oblast,Penza Oblast
Penza Oblast,Ulyanovsk Oblast
Sverdlovsk Oblast,Republic of Bashkortostan
Chelyabinsk Oblast,Republic of Bashkortostan
Sverdlovsk Oblast,Chelyabinsk Oblast
Kurgan Oblast,Chelyabinsk Oblast
Sverdlovsk Oblast,Kurgan Oblast
Chelyabinsk Oblast,Kurgan Oblast
Tyumen Oblast,Kurgan Oblast
Sverdlovsk Oblast,Tyumen Oblast
Kurgan Oblast,Tyumen Oblast
Omsk Oblast,Tyumen Oblast
Tomsk Oblast,Tyumen Oblast
Tyumen Oblast,Omsk Oblast
Novosibirsk Oblast,Omsk Oblast
Tomsk Oblast,Omsk Oblast
Omsk Oblast,Novosibirsk Oblast
Tomsk Oblast,Novosibirsk Oblast
Kemerovo Oblast,Novosibirsk Oblast
Tyumen Oblast,Tomsk Oblast
Omsk Oblast,Tomsk Oblast
Novosibirsk Oblast,Tomsk Oblast
Kemerovo Oblast,Tomsk Oblast
Novosibirsk Oblast,Altai Krai
Kemerovo Oblast,Altai Krai
Kemerovo Oblast,Altai Republic
Novosibirsk Oblast,Kemerovo Oblast
Tomsk Oblast,Kemerovo Oblast
Kemerovo Oblast,Republic of Khakassia
Tyumen Oblast,Krasnoyarsk Krai
Tomsk Oblast,Krasnoyarsk Krai
Kemerovo Oblast,Krasnoyarsk Krai
Irkutsk Oblast,Krasnoyarsk Krai
Irkutsk Oblast,Sakha Republic
Amur Oblast,Sakha Republic
Magadan Oblast,Sakha Republic
Irkutsk Oblast,Buryat Republic
Irkutsk Oblast,Zabaykalsky Krai
Amur Oblast,Zabaykalsky Krai
Amur Oblast,Jewish Autonomous Oblast
Amur Oblast,Khabarovsk Krai
Sakhalin Oblast,Khabarovsk Krai
Magadan Oblast,Khabarovsk Krai
Sakhalin Oblast,Kamchatka Krai
Magadan Oblast,Kamchatka Krai
Magadan Oblast,Chukotka Autonomous Okrug
Irkutsk Oblast,Chita Oblast
Amur Oblast,Chita Oblast
Jewish Autonomous Oblast,Amur Oblast
Jewish Autonomous Oblast,Khabarovsk Krai
Moscow,Moscow Oblast
Saint Petersburg,Leningrad Oblast
Moscow,Kaluga Oblast
Sevastopol,Republic of Crimea
Nenets Autonomous Okrug,Arkhangelsk Oblast
Nenets Autonomous Okrug,Komi Republic
Khanty-Mansi Autonomous Okrug,Komi Republic
Yamalo-Nenets Autonomous Okrug,Komi Republic
Khanty-Mansi Autonomous Okrug,Sverdlovsk Oblast
Nenets Autonomous Okrug,Tyumen Oblast
Khanty-Mansi Autonomous Okrug,Tyumen Oblast
Khanty-Mansi Autonomous Okrug,Tomsk Oblast
Nenets Autonomous Okrug,Yamalo-Nenets Autonomous Okrug
Khanty-Mansi Autonomous Okrug,Yamalo-Nenets Autonomous Okrug
Khanty-Mansi Autonomous Okrug,Krasnoyarsk Krai
Yamalo-Nenets Autonomous Okrug,Krasnoyarsk Krai
Chukotka Autonomous Okrug,Sakha Republic
Chukotka Autonomous Okrug,Kamchatka Krai
Chukotka Autonomous Okrug,Magadan Oblast
Krasnoyarsk Krai,Tuva Republic
Perm Krai,Komi Republic
Krasnodar Krai,Rostov Oblast
Stavropol Krai,Rostov Oblast
Stavropol Krai,Krasnodar Krai
Krasnodar Krai,Republic of Adygea
Stavropol Krai,Republic of Kalmykia
Khabarovsk Krai,Primorsky Krai
Stavropol Krai,Republic of Dagestan
Stavropol Krai,Chechen Republic
Krasnodar Krai,Stavropol Krai
Stavropol Krai,Republic of North Ossetia-Alania
Stavropol Krai,Kabardino-Balkar Republic
Krasnodar Krai,Karachay-Cherkess Republic
Stavropol Krai,Karachay-Cherkess Republic
Perm Krai,Kirov Oblast
Perm Krai,Udmurt Republic
Perm Krai,Sverdlovsk Oblast
Perm Krai,Republic of Bashkortostan
Krasnoyarsk Krai,Tyumen Oblast
Altai Krai,Novosibirsk Oblast
Krasnoyarsk Krai,Tomsk Oblast
Altai Krai,Altai Republic
Altai Krai,Kemerovo Oblast
Krasnoyarsk Krai,Kemerovo Oblast
Krasnoyarsk Krai,Yamalo-Nenets Autonomous Okrug
Krasnoyarsk Krai,Republic of Khakassia
Krasnoyarsk Krai,Irkutsk Oblast
Zabaykalsky Krai,Irkutsk Oblast
Krasnoyarsk Krai,Sakha Republic
Zabaykalsky Krai,Sakha Republic
Khabarovsk Krai,Sakha Republic
Zabaykalsky Krai,Buryat Republic
Zabaykalsky Krai,Amur Oblast
Khabarovsk Krai,Amur Oblast
Khabarovsk Krai,Jewish Autonomous Oblast
Primorsky Krai,Khabarovsk Krai
Khabarovsk Krai,Sakhalin Oblast
Kamchatka Krai,Sakhalin Oblast
Khabarovsk Krai,Magadan Oblast
Kamchatka Krai,Magadan Oblast
Kamchatka Krai,Chukotka Autonomous Okrug
Krasnodar Krai,Republic of Crimea
Buryat Republic,Tuva Republic
Republic of Crimea,Krasnodar Krai
Buryat Republic,Irkutsk Oblast
Buryat Republic,Zabaykalsky Krai
Sakha Republic,Amur Oblast
Republic of Crimea,Sevastopol
Sakha Republic,Khabarovsk Krai
Sakha Republic,Magadan Oblast
Sakha Republic,Chukotka Autonomous Okrug
Buryat Republic,Chita Oblast
Voronezh Oblast,Samara Oblast
Chita Oblast,Irkutsk Oblast
Chita Oblast,Amur Oblast
Arkhangelsk Oblast,Nenets Autonomous Okrug
Komi Republic,Nenets Autonomous Okrug
Komi Republic,Khanty-Mansi Autonomous Okrug
Sverdlovsk Oblast,Khanty-Mansi Autonomous Okrug
Tyumen Oblast,Nenets Autonomous Okrug
Tyumen Oblast,Khanty-Mansi Autonomous Okrug
Tomsk Oblast,Khanty-Mansi Autonomous Okrug
Yamalo-Nenets Autonomous Okrug,Nenets Autonomous Okrug
Yamalo-Nenets Autonomous Okrug,Khanty-Mansi Autonomous Okrug
Krasnoyarsk Krai,Khanty-Mansi Autonomous Okrug
Chita Oblast,Buryat Republic
